date,series,value,method,field
2020-08-18,USDCNY.IB:close,6.9257,wsd,close
2020-08-19,USDCNY.IB:close,6.9103,wsd,close
2020-08-20,USDCNY.IB:close,6.9216,wsd,close
2020-08-21,USDCNY.IB:close,6.9136,wsd,close
2020-08-24,USDCNY.IB:close,6.9126,wsd,close
2020-08-25,USDCNY.IB:close,6.9117,wsd,close
2020-08-26,USDCNY.IB:close,6.8919,wsd,close
2020-08-27,USDCNY.IB:close,6.8946,wsd,close
2020-08-28,USDCNY.IB:close,6.8651,wsd,close
2020-08-31,USDCNY.IB:close,6.8535,wsd,close
2020-09-01,USDCNY.IB:close,6.8239,wsd,close
2020-09-02,USDCNY.IB:close,6.8261,wsd,close
2020-09-03,USDCNY.IB:close,6.8355,wsd,close
2020-09-04,USDCNY.IB:close,6.8393,wsd,close
2020-09-07,USDCNY.IB:close,6.8302,wsd,close
2020-09-08,USDCNY.IB:close,6.8316,wsd,close
2020-09-09,USDCNY.IB:close,6.846,wsd,close
2020-09-10,USDCNY.IB:close,6.8398,wsd,close
2020-09-11,USDCNY.IB:close,6.8369,wsd,close
2020-09-14,USDCNY.IB:close,6.8235,wsd,close
2020-09-15,USDCNY.IB:close,6.7775,wsd,close
2020-09-16,USDCNY.IB:close,6.7613,wsd,close
2020-09-17,USDCNY.IB:close,6.7659,wsd,close
2020-09-18,USDCNY.IB:close,6.7588,wsd,close
2020-09-21,USDCNY.IB:close,6.7733,wsd,close
2020-09-22,USDCNY.IB:close,6.7875,wsd,close
2020-09-23,USDCNY.IB:close,6.792,wsd,close
2020-09-24,USDCNY.IB:close,6.824,wsd,close
2020-09-25,USDCNY.IB:close,6.8202,wsd,close
2020-09-28,USDCNY.IB:close,6.8209,wsd,close
2020-09-29,USDCNY.IB:close,6.8229,wsd,close
2020-09-30,USDCNY.IB:close,6.8106,wsd,close
2020-10-09,USDCNY.IB:close,6.7135,wsd,close
2020-10-12,USDCNY.IB:close,6.7358,wsd,close
2020-10-13,USDCNY.IB:close,6.7385,wsd,close
2020-10-14,USDCNY.IB:close,6.737,wsd,close
2020-10-15,USDCNY.IB:close,6.73,wsd,close
2020-10-16,USDCNY.IB:close,6.6982,wsd,close
2020-10-19,USDCNY.IB:close,6.6935,wsd,close
2020-10-20,USDCNY.IB:close,6.6818,wsd,close
2020-10-21,USDCNY.IB:close,6.6575,wsd,close
2020-10-22,USDCNY.IB:close,6.6689,wsd,close
2020-10-23,USDCNY.IB:close,6.669,wsd,close
2020-10-26,USDCNY.IB:close,6.6985,wsd,close
2020-10-27,USDCNY.IB:close,6.7157,wsd,close
2020-10-28,USDCNY.IB:close,6.7138,wsd,close
2020-10-29,USDCNY.IB:close,6.7104,wsd,close
2020-10-30,USDCNY.IB:close,6.7002,wsd,close
2020-11-02,USDCNY.IB:close,6.7001,wsd,close
2020-11-03,USDCNY.IB:close,6.6884,wsd,close
2020-11-04,USDCNY.IB:close,6.7138,wsd,close
2020-11-05,USDCNY.IB:close,6.64,wsd,close
2020-11-06,USDCNY.IB:close,6.6215,wsd,close
2020-11-09,USDCNY.IB:close,6.5728,wsd,close
2020-11-10,USDCNY.IB:close,6.6041,wsd,close
2020-11-11,USDCNY.IB:close,6.62,wsd,close
2020-11-12,USDCNY.IB:close,6.6297,wsd,close
2020-11-13,USDCNY.IB:close,6.6144,wsd,close
2020-11-16,USDCNY.IB:close,6.577,wsd,close
2020-11-17,USDCNY.IB:close,6.558,wsd,close
2020-11-18,USDCNY.IB:close,6.5425,wsd,close
2020-11-19,USDCNY.IB:close,6.5851,wsd,close
